NomeParlamentar,NomeCompletoParlamentar,UrlFotoParlamentar,UrlPaginaParlamentar,UrlPaginaParticular,SiglaPartidoParlamentar
Acir Gurgacz,Acir Marcos Gurgacz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4981,https://acirgurgacz.com.br/,PDT
Alessandro Vieira,Alessandro Vieira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982,,PSDB
Alexandre Silveira,Alexandre Silveira de Oliveira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4610,https://alexandresilveiramg.com.br,PSD
Alvaro Dias,Alvaro Fernandes Dias,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/945,https://www.alvarodias.com.br/,PODEMOS
Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967,,PSD
Carlos Fávaro,Carlos Henrique Baqueta Fávaro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6295,,PSD
Carlos Portinho,Carlos Francisco Portinho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936,https://www.facebook.com/portinho.rio,PL
Carlos Viana,Carlos Alberto Dias Viana,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990,,MDB
Chico Rodrigues,Francisco de Assis Rodrigues,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470,,DEM
Cid Gomes,Cid Ferreira Gomes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,,PDT
Confúcio Moura,Confúcio Aires Moura,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/475,https://senadorconfucio.com.br/,MDB
Daniella Ribeiro,Daniella Velloso Borges Ribeiro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5998,,PP
Davi Alcolumbre,David Samuel Alcolumbre Tobelem,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,,DEM
Dário Berger,Dário Elias Berger,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5537,https://www.darioberger.com.br/,MDB
Eduardo Braga,Carlos Eduardo de Souza Braga,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994,,MDB
Eduardo Girão,Luis Eduardo Grangeiro Girão,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5976,,PODEMOS
Eduardo Gomes,Carlos Eduardo Torres Gomes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,,MDB
Eliane Nogueira,Eliane e Silva Nogueira Lima,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5898,,PP
Eliziane Gama,Eliziane Pereira Gama Melo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718,,CIDADANIA
Elmano Férrer,Elmano Férrer de Almeida,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5531,,PP
Esperidião Amin,Esperidião Amin Helou Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/22,,PP
Fabiano Contarato,Fabiano Contarato,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5953.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5953,,PT
Fernando Bezerra Coelho,Fernando Bezerra de Souza Coelho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5540,https://www.facebook.com/fernando.bezerracoelho?fref=ts,MDB
Fernando Collor,Fernando Affonso Collor de Mello,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4525,http://www.fernandocollor.com.br/,PROS
Flávio Arns,Flávio José Arns,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador345.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/345,http://www.flavioarns.com.br,PODEMOS
Flávio Bolsonaro,Flávio Nantes Bolsonaro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,,PL
Giordano,Alexandre Luiz Giordano,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6008,,MDB
Humberto Costa,Humberto Sérgio Costa Lima,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008,http://www.senadorhumberto.com.br/,PT
Irajá,Irajá Silvestre Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385,,PSD
Izalci Lucas,Izalci Lucas Ferreira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770,,PSDB
Jader Barbalho,Jader Fontenelle Barbalho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/35,http://jaderbarbalho.com.br/,MDB
Jaques Wagner,Jaques Wagner,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/581,https://pt-br.facebook.com/jaqueswagneroficial/,PT
Jarbas Vasconcelos,Jarbas de Andrade Vasconcelos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4545.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4545,,MDB
Jayme Campos,Jayme Veríssimo de Campos,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531,,DEM
Jean Paul Prates,Jean Paul Terra Prates,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5627.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5627,https://jeanpaulprates.com.br/,PT
Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895,,PODEMOS
Jorginho Mello,Jorginho dos Santos Mello,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5350.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5350,http://www.jorginhomello.com.br/,PL
José Serra,José Serra,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/90,,PSDB
Kátia Abreu,Kátia Regina de Abreu,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1249.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1249,,PP
Lasier Martins,Lasier Costa Martins,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5533,https://www.senadorlasiermartins.com.br/,PODEMOS
Leila Barros,Leila Gomes de Barros Rêgo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979,https://www.leiladovolei.com.br/,CIDADANIA
Lucas Barreto,Luiz Cantuária Barreto,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5926.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5926,,PSD
Luis Carlos Heinze,Luis Carlos Heinze,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1186.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1186,,PP
Luiz do Carmo,Luiz Carlos do Carmo,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5585.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5585,,MDB
Mailza Gomes,Mailza Assis da Silva,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5557.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5557,,PP
Mara Gabrilli,Mara Cristina Gabrilli,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376,,PSDB
Marcelo Castro,Marcelo Costa e Castro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/742,,MDB
Marcio Bittar,Márcio Miguel Bittar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/285,,PSL
Marcos Rogério,Marcos Rogério da Silva Brito,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422,,PL
Marcos do Val,Marcos Ribeiro do Val,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5942.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5942,,PODEMOS
Maria do Carmo Alves,Maria do Carmo do Nascimento Alves,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador1023.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/1023,,DEM
Mecias de Jesus,Antônio Mecias Pereira de Jesus,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6027,,REPUBLICANOS
Nelsinho Trad,Nelson Trad Filho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5985.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5985,https://www.nelsinhotrad.com.br/,PSD
Nilda Gondim,Ozanilda Gondim Vital do Rego,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5281.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5281,,MDB
Omar Aziz,Omar José Abdel Aziz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525,,PSD
Oriovisto Guimarães,Oriovisto Guimaraes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5924.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5924,http://www.oriovistoguimaraes.com.br/,PODEMOS
Otto Alencar,Otto Roberto Mendonça de Alencar,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523,,PSD
Paulo Paim,Paulo Renato Paim,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825,http://www.senadorpaim.com.br/,PT
Paulo Rocha,Paulo Roberto Galvão da Rocha,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador374.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/374,http://senadorpaulorocha.com.br/,PT
